Avistaje ID,Focal Sample ID,Focal Animal,Focal Age-Sex Class,Time Start,FS Rev by PI,FS Rev by Assistant,Focal Data Checked by PI,Focal Data Checked by Assistant,Inter-Observer Rel,Comments,Dictaphone File Name,Time End,Dictaphone Used,Transcribed,Date of Transcription,End Early,Focal Completion,Start Focal in Sleep Tree,Start Sleep Tree ID,End Focal in Sleep Tree,End Sleep Tree ID
AV27572,FS27512,Kong/,AM,12/30/1899 8:06:00,0,0,0,0,0,,,12/30/1899 8:26:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27574,FS27513,Kahlo/,INF12,12/30/1899 9:53:00,0,0,0,0,0,,,12/30/1899 10:13:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27574,FS27514,Katta/,AF,12/30/1899 10:33:00,0,0,0,0,0,,,12/30/1899 10:53:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27574,FS27515,Kahlo/,INF12,12/30/1899 11:01:00,0,0,0,0,0,,,12/30/1899 11:21:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27574,FS27516,Katta/,AF,12/30/1899 12:06:00,0,0,0,0,0,,,12/30/1899 12:26:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27574,FS27517,Kong/,AM,12/30/1899 12:43:00,0,0,0,0,0,,,12/30/1899 13:03:16,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27574,FS27518,Kahlo/,INF12,12/30/1899 13:07:00,0,0,0,0,0,,,12/30/1899 13:17:00,,0,5/3/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27574,FS27519,Katta/,AF,12/30/1899 13:47:00,0,0,0,0,0,,,12/30/1899 14:07:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27574,FS27520,Kong/,AM,12/30/1899 11:45:00,0,0,0,0,0,,,12/30/1899 12:05:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27521,Kong/,AM,12/30/1899 7:24:00,0,0,0,0,0,,,12/30/1899 7:44:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27522,Kahlo/,INF12,12/30/1899 7:46:00,0,0,0,0,0,,,12/30/1899 8:06:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27523,Kahlo/,INF12,12/30/1899 8:28:00,0,0,0,0,0,,,12/30/1899 8:48:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27524,Kahlo/,INF12,12/30/1899 9:28:00,0,0,0,0,0,,,12/30/1899 9:48:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27525,Katta/,AF,12/30/1899 9:50:00,0,0,0,0,0,,,12/30/1899 10:10:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27526,Kong/,AM,12/30/1899 10:12:00,0,0,0,0,0,,,12/30/1899 10:32:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27527,Kong/,AM,12/30/1899 10:58:00,0,0,0,0,0,,,12/30/1899 11:18:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27528,Katta/,AF,12/30/1899 11:54:00,0,0,0,0,0,,,12/30/1899 12:14:00,,0,5/3/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27529,Kahlo/,INF12,12/30/1899 12:35:00,0,0,0,0,0,,,12/30/1899 12:55:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27530,Kong/,AM,12/30/1899 13:23:00,0,0,0,0,0,,,12/30/1899 13:43:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27576,FS27531,Kahlo/,INF12,12/30/1899 14:12:00,0,0,0,0,0,,,12/30/1899 14:32:00,,0,5/4/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
